audit_id,level,original_vignette,patient_rewrite,answer_options,correct_letter,REVIEWER_clinical_fact_changed,REVIEWER_notes
AUD-011,b,A 34-year-old man comes to the physician because of frequent headaches and blurry vision during the past 4 months. He has also had difficulties achieving an erection over the past few weeks. Physical examination shows a temporal visual field deficit bilaterally. An MRI of the brain shows an intrasellar mass. The mass is most likely derived from which of the following types of cells?,"I've been having these frequent headaches and my vision has been blurry for the past four months. Lately, I've also been having trouble getting an erection for a few weeks now. When the doctor examined me, they found that I have a problem with my side vision in both eyes. They did an MRI of my brain and found a mass in a certain area. I'm a 34-year-old man, and I'm just trying to figure out what's going on.","{""A"": ""Thyrotrophs"", ""B"": ""Lactotrophs"", ""C"": ""Somatotrophs"", ""D"": ""Gonadotrophs""}",B,,
AUD-012,b,"A obstetrician is working in a developing country to help promote maternal health and fetal well being. While there, he delivers a baby who he suspects has congenital hypothyroidism, most likely caused by inadequate maternal iodine intake. Which of the following signs and symptoms would NOT be expected to be observed in this child?","I'm an obstetrician working in a developing country to help with maternal health and making sure babies are healthy. I just delivered a baby, and I think this baby might have a condition called congenital hypothyroidism, which I believe is probably due to the mother not getting enough iodine during her pregnancy. I'm trying to figure out what signs and symptoms I shouldn't expect to see in this baby.","{""A"": ""Hypotonia"", ""B"": ""Diarrhea"", ""C"": ""Umbilical hernia"", ""D"": ""Macroglossia""}",B,,
AUD-013,c,"A obstetrician is working in a developing country to help promote maternal health and fetal well being. While there, he delivers a baby who he suspects has congenital hypothyroidism, most likely caused by inadequate maternal iodine intake. Which of the following signs and symptoms would NOT be expected to be observed in this child?","im an obstetrician and im over here in a developing country trying to help moms and their babies be healthy. i just helped deliver a baby and i think this baby might have something called congenital hypothyroidism, which i guess is from the mom not getting enough iodine while she was pregnant. now im trying to think about what signs or symptoms i shouldnt be lookin for in this baby.","{""A"": ""Hypotonia"", ""B"": ""Diarrhea"", ""C"": ""Umbilical hernia"", ""D"": ""Macroglossia""}",B,,
AUD-014,c,"An investigator is studying the cell morphologies of the respiratory tract. He obtains a biopsy from the mainstem bronchus of a patient. On microscopic examination, the biopsy sample shows uniform squamous cells in layers. Which of the following best describes the histologic finding seen in this patient?",theres this guy whos studying the cells in the tubes we breathe through and he took a little piece from the main bronchus of a patient. when they looked at it with the microscope they saw these flat cells that were all kinda the same and stacked on top of each other. i dont really know what that means but thats what they said they found.,"{""A"": ""Metaplasia"", ""B"": ""Normal epithelium"", ""C"": ""Dysplasia"", ""D"": ""Anaplasia\n\""""}",A,,
AUD-015,b,"A 55-year-old woman presents with severe pruritus and fatigue. She denies any similar symptoms in the past. No significant past medical history. Upon physical examination, scleral icterus is present, and significant hepatosplenomegaly is noted. Mild peripheral edema is also present. Laboratory findings are significant for elevated serum levels of bilirubin, aminotransferases, alkaline phosphatase (ALP), γ-glutamyl transpeptidase (GGTP), immunoglobulins, as well as cholesterol (especially HDL fraction). Antiviral antibodies are not present. The erythrocyte sedimentation rate is also elevated. Anti-mitochondrial antibodies are found. A liver biopsy is performed, and the histopathologic examination shows bile duct injury, cholestasis, and granuloma formation. Which of the following is the most likely diagnosis in this patient?","I'm a 55-year-old woman and I've been dealing with really bad itching and feeling super tired. I've never had anything like this before. I don't have any major health issues in my past. When the doctor checked me, they noticed that the whites of my eyes were yellow, and my belly was swollen with my liver and spleen being bigger than normal. I also had some swelling in my legs. They did a bunch of blood tests and found that my bilirubin and liver enzymes were high, along with my cholesterol, especially the good kind. They said I didn't have any antiviral antibodies, and my inflammation level was up too. They found some specific antibodies related to my liver. They did a liver biopsy, and the results showed some damage to my bile ducts, a buildup of bile, and some lumps. I'm just trying to understand what all this means.","{""A"": ""Primary biliary cirrhosis"", ""B"": ""Hemolytic anemia"", ""C"": ""Hepatitis A"", ""D"": ""Gilbert syndrome""}",A,,
AUD-016,c,"A 4-year-old boy is brought to his primary care physician for a physical prior to beginning a preschool program. He is found to be delayed in reaching normal childhood cognitive and social milestones, which is consistent with observations at previous check-ups. Physically, he is also found to be significantly overweight with hypogonadism. Notably, the boy was limp when he was born and did not have a normal motor response to stimuli. Elevated levels of a gastrointestinal hormone are associated with the cause of this patient's weight gain. The hormone that is most responsible for causing the weight gain is produced in which of the following cell types?","my little boy is 4 and i took him to the doctor for a check-up since he’s gonna start preschool soon. they said he’s kinda slow with his thinking and making friends, and they noticed that before too. he’s also really heavy for his age and has some hormone problems. when he was born he was all limp and didn’t really move like other babies do. they told me there’s this hormone in his tummy that has to do with why he’s getting so big, but i dont really get it.","{""A"": ""D cells"", ""B"": ""G cells"", ""C"": ""P/D1 cells"", ""D"": ""L cells""}",C,,
AUD-017,b,"A 52-year-old man comes to the physician because of generalized pruritus and raised, erythematous plaques on the skin over his hands, chest, and legs for 6 hours. He reports having clear liquid discharge from his nose and sneezing. He says that his symptoms began suddenly the previous night, 30 minutes after he had dinner at a seafood restaurant. He has had similar symptoms occasionally in the past as well. Four months ago, he had an episode of narrow-angle glaucoma. He takes no medications. His vital signs are within normal limits. Nasal exam shows clear, serous secretions, with edematous and erythematous mucosa and turbinates. Paranasal sinuses are not tender to palpation. Which of the following is the most appropriate pharmacotherapy?","I'm a 52-year-old man and I came to see the doctor because I've been really itchy all over and I have these raised red patches on my skin, especially on my hands, chest, and legs, and it's been going on for about 6 hours. I also have clear liquid coming out of my nose and I've been sneezing a lot. This all started suddenly last night, about 30 minutes after I had dinner at a seafood restaurant. I've had similar problems like this before, but not too often. Four months ago, I had an issue with narrow-angle glaucoma, but I don't take any medications. My vital signs were all normal. When they looked at my nose, they saw clear fluid and said the inside was swollen and red, but my sinuses didn't hurt when they pressed on them.","{""A"": ""Diphenhydramine"", ""B"": ""Fexofenadine"", ""C"": ""Vitamin K"", ""D"": ""Calamine lotion""}",B,,
AUD-018,b,"A 1-year-old boy is brought to the clinic by his parents for a regular check-up. His weight, height, and head size were found to be in the lower percentile ranges on standard growth curves. His hair is tangled and has a dry, brittle texture. Genetic testing reveals that the patient has a connective tissue disorder caused by impaired copper absorption and transport. The patient’s disorder is caused by a mutation in which of the following genes?","My 1-year-old son came in for a regular check-up with both of us, his parents. They said his weight, height, and head size are all in the lower percentiles on the growth charts. His hair is really tangled and feels dry and brittle. They did some genetic testing and found out he has a connective tissue disorder because his body has trouble absorbing and transporting copper. They mentioned something about a mutation in a gene, but I don't know which one it is.","{""A"": ""ATP7A"", ""B"": ""COL5A1"", ""C"": ""FBN1"", ""D"": ""ATP7B""}",A,,
AUD-019,b,"A 7-year-old boy is brought to his pediatrician’s office for a follow-up visit. He was diagnosed with asthma when he was 3 years old and has since been on treatment for the condition. He is currently on a β-agonist inhaler because of exacerbation of his symptoms. He has observed that his symptoms are more prominent in springtime, especially when the new flowers are blooming. His mother has a backyard garden and whenever he goes out to play there, he experiences chest tightness with associated shortness of breath. He has been advised to take more precaution during this seasonal change and to stay away from pollen. He is also being considered for an experimental therapy, which attenuates the activity of certain mediators which cause his asthmatic attack. The targeted mediator favors the class switching of antibodies. A reduction in this mechanism will eventually reduce the exaggerated response observed during his asthmatic attacks, even when exposed to an allergen. Which of the following mediators is described in this experimental study?","I brought my 7-year-old son to his pediatrician for a follow-up visit. He was diagnosed with asthma when he was 3, and he's been getting treatment for it since then. Right now, he's using a special inhaler because his symptoms have gotten worse. He noticed that his symptoms get really bad in the spring, especially when the flowers start blooming. Whenever he goes out to play in the backyard, he feels tightness in his chest and has trouble breathing. The doctor told us to be extra careful during this time of year and to avoid pollen. They are also looking into a new treatment that might help with his asthma by reducing the activity of certain things in his body that cause his attacks. This treatment is supposed to help lower the response he has when he comes into contact with things that trigger his asthma. I'm his mom.","{""A"": ""IL-2"", ""B"": ""IL-10"", ""C"": ""IL-13"", ""D"": ""IL-4""}",D,,
AUD-020,b,"A 15-year-old woman presents with fever, altered mental status and a petechial rash on her lower extremities and back since yesterday evening. She also says she has been nauseous for the past 3 hours and has vomited twice. The patient mentions she has had heavy menstrual bleeding for the past few days. Her blood pressure is 95/80 mm Hg and her temperature is 40.0°C (104.0°F). On physical examination, the patient appears diaphoretic. A pelvic examination reveals a tampon in her vagina. Binding and activation of which of the following T cell receptors is responsible for this patient’s most likely condition?","I'm a 15-year-old girl and I started feeling really sick last night. I had a fever and my mind felt kinda off, plus I noticed this rash with little red spots on my legs and back. For the last three hours, I've been feeling nauseous and I've thrown up twice. I've also been bleeding a lot during my period for the past few days. My blood pressure was 95 over 80 and my temperature was 40.0 degrees Celsius, which is 104.0 degrees Fahrenheit. When the doctor checked me, I was sweating a lot. They found a tampon in my vagina during the pelvic exam.","{""A"": ""B7 receptor"", ""B"": ""Variable β-sequence of the T cell receptor"", ""C"": ""CD3"", ""D"": ""IgCAM""}",B,,
AUD-021,b,"A novel type of PET radiotracer is being developed to evaluate patients with Parkinson’s disease. A clinical research study has enrolled 1,200 patients, half of whom have the disease. The scan is found to be positive in 590 of the 600 patients with known PD, and positive in 20 of the 600 patients without PD. What is the test’s overall specificity?","They are working on a new type of PET scan to help check for Parkinson's disease. In a study, they have 1,200 patients, and half of them have Parkinson's. Out of the 600 patients who already have Parkinson's, the scan came back positive for 590 of them. For the other 600 patients who do not have Parkinson's, the scan was positive for 20 of them. I'm not sure what the overall specificity of the test is, but that's what they are trying to find out.","{""A"": ""580 / (20 + 590)"", ""B"": ""580 / (10 + 580)"", ""C"": ""590 / (590 + 10)"", ""D"": ""580 / (580 + 20)""}",D,,
AUD-022,b,"A 39-year-old man presents to the emergency department complaining of a sharp pain that radiates along his right hemithorax, which worsens with deep inspiration. He says this started abruptly about 6 hours ago. He says that he has not noticed that anything that makes his pain better or worse. He also denies any other symptoms. He works as a long-haul truck driver, and he informs you that he recently returned to the east coast from a trip to Utah. His medical history is significant for gout, hypertension, hypercholesterolemia, diabetes mellitus type 2, and acute lymphoblastic leukemia from when he was a child. He currently smokes 2 packs of cigarettes/day, drinks a 6-pack of beer/day, and he denies any illicit drug use. The vital signs include: temperature 36.7°C (98.0°F), blood pressure 126/74 mm Hg, heart rate 98/min, and respiratory rate 23/min. His physical examination shows minimal bibasilar rales, but otherwise clear lungs on auscultation, normal heart sounds, and a benign abdominal physical examination. Which of the following is the most reasonable 1st step towards ruling out the diagnosis of pulmonary embolism in a low-risk patient?","I'm a 39-year-old man and I came to the emergency department because I've been having this sharp pain on the right side of my chest that feels worse when I take a deep breath. It started really suddenly about 6 hours ago, and I haven't noticed anything that makes it better or worse. I don't have any other symptoms. I drive a truck for a living, and I just got back to the east coast from a trip to Utah. My medical history includes gout, high blood pressure, high cholesterol, type 2 diabetes, and I had leukemia when I was a kid. I smoke about 2 packs of cigarettes a day and drink a 6-pack of beer daily, but I don't use any illegal drugs. When they checked my vital signs, my temperature was 36.7, my blood pressure was 126 over 74, my heart rate was 98, and my breathing rate was 23. They said my lungs sounded mostly clear except for some crackling at the bottom, and my heart sounded normal, and my belly felt fine too.","{""A"": ""ECG"", ""B"": ""V/Q scan"", ""C"": ""D-dimer"", ""D"": ""CT pulmonary angiogram with IV contrast""}",C,,
AUD-023,b,"A 15-year-old female presents to her pediatrician’s office for severe menstrual cramping. The patient underwent menarche at age 11, and her periods were irregular every 2-3 months for two years. After that, her cycles became roughly regular every 28-35 days, but she has had extremely painful cramps and often has to miss school. The cramps are intermittent and feel like a dull ache in the center of her abdomen, and there is usually accompanying back pain. The patient has been using heating pads with limited relief. She reports some periods being “really heavy” and requires a superabsorbent pad every 6 hours for 2 days each cycle, but this does not limit her activities. She denies any bowel or bladder changes. The patient had normal development throughout childhood, is on the soccer team at school, and is not sexually active. Her father has hypertension and her mother has endometriosis and heavy periods. On exam, the patient is 5 feet 5 inches and weighs 158 pounds (BMI 26.3 kg/m^2). She is well appearing and has no abdominal tenderness. She has Tanner IV breasts and Tanner IV pubic hair, and external genitalia are normal. Which of the following is the best next step for this patient’s menstrual cramps?","I'm a 15-year-old girl and I came to see my doctor because I've been having really bad cramps during my periods. I started my periods when I was 11, and for the first two years, they were all over the place, coming every 2 to 3 months. But then they got more regular, showing up about every 28 to 35 days. The cramps are really painful, and sometimes I have to miss school because of them. They feel like a dull ache in the middle of my belly, and I usually have back pain too. I've been using heating pads, but they don't help much. Some of my periods are really heavy, and I need to use a superabsorbent pad every 6 hours for 2 days, but that doesn't stop me from doing what I need to do. I haven't noticed any changes with my bowel or bladder. I grew up normally, I'm on the soccer team at school, and I'm not sexually active. My dad has high blood pressure, and my mom has endometriosis and heavy periods. When they checked me, I was 5 feet 5 inches tall and weighed 158 pounds, which gives me a BMI of 26.3. I looked fine, and they said my belly was okay when they felt it. They also said my breasts and pubic hair were at Tanner stage IV, and everything down there looked normal.","{""A"": ""Pelvic ultrasound"", ""B"": ""MRI of the pelvis"", ""C"": ""NSAIDs"", ""D"": ""Increased exercise""}",C,,
AUD-024,b,"A 59-year-old man is brought to the emergency department with a history of black, tarry stools but denies vomiting of blood or abdominal pain. His family has noticed progressive confusion. History is significant for liver cirrhosis and alcoholism. His heart rate is 112/min, temperature is 37.1°C (98.7°F), and blood pressure is 110/70 mm Hg. On examination, he is jaundiced, lethargic, is oriented to person and place but not date, and has moderate ascites. Neurological examination reveals asterixis, and his stool is guaiac-positive. Liver function test are shown below:
Total albumin 2 g/dL
Prothrombin time 9 seconds
Total bilirubin 5 mg/dL
Alanine aminotransferase (ALT) 100 U/L
Aspartate aminotransferase (AST) 220 U/L
Which of the following is a feature of this patient condition?","I brought my 59-year-old father to the emergency department because he has been having black, tarry stools, but he says he hasn't vomited any blood or felt any stomach pain. My family has noticed that he's been getting more and more confused. He has a history of liver cirrhosis and alcoholism. His heart rate was 112 beats per minute, his temperature was 37.1 degrees Celsius, and his blood pressure was 110 over 70. When they examined him, they said he looked jaundiced and lethargic, and he was able to tell them who he was and where he was, but not what the date was. He also has some swelling in his belly. They did a neurological exam and found something called asterixis, and they said his stool tested positive for blood. They ran some liver function tests, and the results showed his total albumin was 2, his prothrombin time was 9 seconds, his total bilirubin was 5, his ALT was 100, and his AST was 220.","{""A"": ""Ammonia level is the best initial test to confirm the diagnosis"", ""B"": ""It is a diagnosis of exclusion"", ""C"": ""It only occurs in patients with cirrhosis"", ""D"": ""Electroencephalography (EEG) usually shows focal localising abnormality""}",B,,
AUD-025,b,"A 68-year-old man presents with difficulty breathing for the last 3 hours. Upon asking about other symptoms, he mentions that he had a cough for the last 4 months which he attributes to his smoking. He says he had frequent nasal stuffiness and headaches over the last 3 months, for which he takes over-the-counter cold medications and analgesics. Over the last 2 months, he often felt that his face was mildly swollen, especially in the morning hours, but he did not consider it to be anything serious. No significant past medical history. He reports a 20-pack-year smoking history. His temperature is 36.8°C (98.4°F), pulse is 96/min, blood pressure is 108/78 mm Hg, and the respiratory rate is 24/min. On physical examination, auscultation of the chest reveals rhonchi and crepitus over the right lung. The remainder of the exam is unremarkable. A chest radiograph reveals a mass in the middle lobe of the right lung. Which of the following clinical signs would most likely be present in this patient?","I've been having trouble breathing for the last three hours. When I talked to the doctor, I mentioned that I've had a cough for the last four months, and I think it's because I smoke. For the past three months, I've also had a stuffy nose and headaches, and I've been taking some over-the-counter cold medicine and pain relievers for that. Over the last two months, I've noticed that my face feels a little swollen, especially in the mornings, but I didn't think it was anything serious. I don't have any major health issues in the past. I smoke about a pack a day for 20 years. My temperature was 36.8, my pulse was 96, my blood pressure was 108 over 78, and I was breathing 24 times a minute. When they listened to my chest, they heard some wheezing and crackling in my right lung. Everything else seemed normal. They did an X-ray of my chest and found a mass in the middle part of my right lung. I'm a 68-year-old man.","{""A"": ""Bilateral pedal edema"", ""B"": ""Distended veins over lower abdomen"", ""C"": ""Papilledema"", ""D"": ""Sensory loss over the ulnar aspect of right forearm and right hand""}",C,,
